id,product_model,product_name,maker,general_name,keyword,category,category2,sub_categoryOne,sub_categoryTwo,country_of_origin,link,short_description,spec,weight,size_one,price,shipping,stock,imgURL1,imgURL2,imgURL3
10290,EA109HM-8,3-Piece Poster Color Brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",27,1,1235.2,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109HM-8/EA109HM-8_IMG_WEB_OUT(01).jpg,,
10291,EA109HN-30A,4-piece joint brush (wool),Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",55,1,1644.8,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109HN-30A/EA109HN-30A_IMG_WEB_OUT(01).jpg,,
10292,EA109HN-4,3-piece joint brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",50,1,1280,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109HN-4/EA109HN-4_IMG_WEB_OUT(01).jpg,,
10293,EA109HN-40,2-piece nylon brush for joints,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",38,1,1792,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109HN-40/EA109HN-40_IMG_WEB_OUT(01).jpg,,
10294,EA109HN-41,30mm nylon brush for grouting,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",17,1,921.6,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109HN-41/EA109HN-41_IMG_WEB_OUT(01).jpg,,
10295,EA109HN-60,4-piece joint brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",50,1,1696,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109HN-60/EA109HN-60_IMG_WEB_OUT(01).jpg,,
10296,EA109L-4,30mm paint brush,Otsuka brush production,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",37,1,960,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109L-4/EA109L-4_IMG_WEB_OUT(01).jpg,,
10297,EA109L-41,"25mm Oil Heating Radiator Brush (Umage, Torsion)",Otsuka brush production,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",74,1,1593.6,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109L-41/EA109L-41_IMG_WEB_OUT(01).jpg,,
10298,EA109LA-21,45mm paint brush,Yoshikawa Sangyo,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",84,1,1235.2,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109LA-21/EA109LA-21_IMG_WEB_OUT(01).jpg,,
10299,EA109LA-38,3-Piece All-Purpose Brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",108,1,1785.6,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109LA-38/EA109LA-38_IMG_WEB_OUT(01).jpg,,
10300,EA109LA-52,40mm thick all-purpose brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",45,1,832,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109LA-52/EA109LA-52_IMG_WEB_OUT(01).jpg,,
10301,EA109LA-57,2-Piece Thick All-Purpose Brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",118,1,1907.2,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109LA-57/EA109LA-57_IMG_WEB_OUT(01).jpg,,
10302,EA109LA-60,3-Piece All-Purpose Brush,Tojits,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",78,1,1536,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109LA-60/EA109LA-60_IMG_WEB_OUT(01).jpg,,
10303,EA109LA-75,42mm Streak brush for oiliness (horse hair),Otsuka brush production,-,,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool",(For painting) Brush,-,-,-,-,"<p><em>It has been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.</em></p>","<p>The Snow Man</p> <p>One must have a mind of winter<br /> To regard the frost and the boughs<br /> Of the pine-trees crusted with snow;</p> <p>And have been cold a long time<br /> To behold the junipers shagged with ice,<br /> The spruces rough in the distant glitter</p> <p>Of the January sun; and not to think<br /> Of any misery in the sound of the wind,<br /> In the sound of a few leaves,</p> <p>Which is the sound of the land<br /> Full of the same wind<br /> That is blowing in the same bare place</p> <p>For the listener, who listens in the snow,<br /> And, nothing himself, beholds<br /> Nothing that is not there and the nothing that is.</p>",48,1,2406.4,2440,3,https://www.esco-net.com/wcs/escort/ItemFile/EA1/EA109/EA109LA-75/EA109LA-75_IMG_WEB_OUT(01).jpg,,
